Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_091.jpg;15;1;0;2.447999;102.8619;90.01797;0.3699924;39.83649;359.937
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_141.jpg;15;1;0;2.484061;102.9669;90.12145;0.2673921;41.79687;0.3287925
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_192.jpg;15;1;0;2.521101;103.0364;90.19288;0.2123678;43.12168;0.5926078
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_241.jpg;15;1;0;2.545073;103.1389;90.30428;0.1519096;45.1265;1.007167
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_291.jpg;15;1;0;2.575456;103.2062;90.38011;0.08952402;46.44618;1.238784
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_341.jpg;15;1;0;2.585909;103.3068;90.49376;359.9338;48.21879;1.334474
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_391.jpg;15;1;0;2.620118;103.374;90.57332;359.9538;49.3907;1.293146
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_442.jpg;-15;1;0;2.65715;103.4736;90.69739;0.01976812;51.09804;1.145293
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_491.jpg;-15;1;0;2.660339;103.5455;90.77601;0.0032568;50.62494;0.8436556
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_541.jpg;-15;1;0;2.684328;103.6581;90.89253;0.02222946;48.81637;0.3117301
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_591.jpg;-15;1;0;2.717881;103.7363;90.96955;0.08068268;47.43232;359.9187
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_641.jpg;-15;1;0;2.740253;103.8579;91.08346;0.202989;45.30019;359.3089
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_691.jpg;-15;1;0;2.763214;103.9406;91.15797;0.2536166;43.88161;358.9426
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_741.jpg;-15;1;0;2.787297;104.0652;91.26728;0.2121675;41.83872;358.5491
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_791.jpg;-15;1;0;2.799882;104.1482;91.33828;0.09284115;40.60276;358.426
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_841.jpg;15;1;0;2.794899;104.2662;91.45193;359.8562;40.57304;358.7123
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_891.jpg;15;1;0;2.831219;104.3471;91.53378;359.8917;41.28164;359.0997
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_941.jpg;15;1;0;2.885077;104.4694;91.65993;-0.002314727;43.14306;359.6773
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_01_991.jpg;15;1;0;2.906778;104.55;91.74701;0.1076412;44.57739;0.09625535
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_041.jpg;15;1;0;2.93964;104.6687;91.88086;0.2563475;46.76979;0.7032328
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_093.jpg;-15;1;0;2.957173;104.7532;91.96442;0.3014034;46.77817;0.8673987
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_02_142.jpg;-15;1;0;2.977216;104.8866;92.08392;0.2999679;45.19186;0.8462669
